label,word,coordinates
relevant,hudson,"(58.4640007019043, 56.1300048828125, 123.38319396972656, 77.1300048828125)"
relevant,ltd,"(58.4640007019043, 70.42999267578125, 85.22621154785156, 91.42999267578125)"
irrelevant,business,"(60.14400100708008, 110.1500244140625, 95.58125305175781, 119.1500244140625)"
irrelevant,code,"(97.2239990234375, 110.1500244140625, 117.22453308105469, 119.1500244140625)"
relevant,9476071,"(60.14400100708008, 125.27001953125, 92.06551361083984, 134.27001953125)"
irrelevant,invoice,"(178.3699951171875, 106.7900390625, 209.00852966308594, 115.7900390625)"
relevant,3762,"(216.1699981689453, 106.7900390625, 234.05152893066406, 115.7900390625)"
irrelevant,date,"(178.3699951171875, 157.42999267578125, 197.1735382080078, 166.42999267578125)"
relevant,20190909,"(178.3699951171875, 172.6700439453125, 220.37152099609375, 181.6700439453125)"
irrelevant,issued,"(178.3699951171875, 204.95001220703125, 204.5351104736328, 213.95001220703125)"
irrelevant,to,"(206.2100067138672, 204.95001220703125, 216.36898803710938, 213.95001220703125)"
relevant,goodwinsavannahexamplecom,"(178.3699951171875, 230.030029296875, 299.3374938964844, 239.030029296875)"
irrelevant,description,"(157.6999969482422, 258.02001953125, 206.89854431152344, 267.02001953125)"
irrelevant,rate,"(320.7099914550781, 258.02001953125, 339.6035461425781, 267.02001953125)"
irrelevant,qty,"(395.3800048828125, 258.02001953125, 410.3317565917969, 267.02001953125)"
irrelevant,total,"(481.5400085449219, 258.02001953125, 505.33074951171875, 267.02001953125)"
relevant,enhance,"(157.6999969482422, 269.300048828125, 188.92605590820312, 278.300048828125)"
relevant,bestofbreed,"(190.9190216064453, 269.300048828125, 241.2925262451172, 278.300048828125)"
relevant,relationships,"(243.27801513671875, 269.300048828125, 290.34906005859375, 278.300048828125)"
relevant,8403,"(320.7099914550781, 269.300048828125, 341.2284851074219, 278.300048828125)"
relevant,6,"(395.3800048828125, 269.300048828125, 399.9415283203125, 278.300048828125)"
relevant,50418,"(481.5400085449219, 269.300048828125, 511.1814880371094, 278.300048828125)"
relevant,deploy,"(157.6999969482422, 305.05999755859375, 182.40174865722656, 314.05999755859375)"
relevant,holistic,"(184.4390106201172, 305.05999755859375, 210.43870544433594, 314.05999755859375)"
relevant,interfaces,"(212.50103759765625, 305.05999755859375, 248.7630615234375, 314.05999755859375)"
relevant,1718,"(320.7099914550781, 305.05999755859375, 341.2284851074219, 314.05999755859375)"
