label,word,coordinates
irrelevant,invoice,"(69.98400115966797, 208.81399536132812, 278.3858642578125, 275.4255065917969)"
relevant,thompson,"(438.94000244140625, 116.3407974243164, 527.602294921875, 139.1439208984375)"
relevant,ltd,"(438.94000244140625, 135.42080688476562, 465.8624267578125, 158.22393798828125)"
relevant,43949,"(459.5799865722656, 168.26902770996094, 485.9627990722656, 181.29454040527344)"
relevant,brian,"(488.5982360839844, 168.26902770996094, 510.77191162109375, 181.29454040527344)"
relevant,harbor,"(513.4073486328125, 168.26902770996094, 542.3782348632812, 181.29454040527344)"
relevant,caseyhaven,"(444.2200012207031, 179.1890106201172, 499.725341796875, 192.2145233154297)"
relevant,fl,"(502.36077880859375, 179.1890106201172, 513.4239501953125, 192.2145233154297)"
relevant,15962,"(516.0593872070312, 179.1890106201172, 542.4421997070312, 192.2145233154297)"
irrelevant,tel,"(460.6600036621094, 192.74900817871094, 476.4915771484375, 205.77452087402344)"
relevant,6635332465,"(480.2200012207031, 192.74900817871094, 542.3909912109375, 205.77452087402344)"
irrelevant,invoice,"(72.86399841308594, 298.0100402832031, 116.14038848876953, 314.5340270996094)"
irrelevant,no,"(118.94000244140625, 298.0100402832031, 139.42816162109375, 314.5340270996094)"
relevant,80734473,"(163.33999633789062, 297.9500427246094, 216.09193420410156, 314.43804931640625)"
irrelevant,date,"(383.8299865722656, 298.0100402832031, 414.8684997558594, 314.5340270996094)"
relevant,05,"(434.0199890136719, 297.9500427246094, 447.3999938964844, 314.43804931640625)"
relevant,january,"(450.7720031738281, 297.9500427246094, 496.8520202636719, 314.43804931640625)"
relevant,2020,"(500.0560302734375, 297.9500427246094, 526.7680053710938, 314.43804931640625)"
irrelevant,bill,"(72.86399841308594, 325.4900207519531, 91.53599548339844, 342.0140075683594)"
irrelevant,to,"(95.06400299072266, 325.4900207519531, 109.8600082397461, 342.0140075683594)"
relevant,scott,"(163.33999633789062, 325.4300231933594, 194.11997985839844, 341.91802978515625)"
relevant,davis,"(197.3599853515625, 325.4300231933594, 227.39598083496094, 341.91802978515625)"
relevant,and,"(230.7319793701172, 325.4300231933594, 250.7119598388672, 341.91802978515625)"
relevant,luna,"(254.08395385742188, 325.4300231933594, 280.6879577636719, 341.91802978515625)"
relevant,unit,"(163.33999633789062, 344.66302490234375, 180.98912048339844, 358.3480529785156)"
relevant,9339,"(183.84764099121094, 344.66302490234375, 206.0485076904297, 358.3480529785156)"
relevant,box,"(208.8173828125, 344.66302490234375, 226.018310546875, 358.3480529785156)"
relevant,7154,"(166.00999450683594, 357.9830322265625, 188.10763549804688, 371.6680603027344)"
relevant,dpo,"(166.00999450683594, 371.4230041503906, 187.56344604492188, 385.1080322265625)"
relevant,ae,"(190.37216186523438, 371.4230041503906, 203.71856689453125, 385.1080322265625)"
relevant,06113,"(206.44760131835938, 371.4230041503906, 234.2659149169922, 385.1080322265625)"
irrelevant,item,"(74.18399810791016, 409.83642578125, 104.42054748535156, 427.0213928222656)"
